x  u  u_theta  du_dx  du_theta_dx  d2u_dx2  d2u_theta_dx2
0.0  0.0  0.0  6.283185307179586  6.361329538055585  -0.0  -16.65223624123479
0.001001001001001001  0.006289284041015246  0.006359340138229017  6.282613661643259  6.3446164102007305  -1.1421224084375905  -16.746026583104843
0.002002002002002002  0.012577423697369205  0.012701897994205586  6.280898877420778  6.327793117165174  -2.2839403565670238  -16.8723093627175
0.003003003003003003  0.018863274889462798  0.01902754705253482  6.278041411624081  6.310827252167256  -3.4251494791055195  -17.030841138842582
0.004004004004004004  0.02514569414772615  0.02533612848787128  6.274042025947878  6.293686673980702  -4.565445600789229  -17.22133487371009
0.005005005005005005  0.031423538917395195  0.03162745145247765  6.268901786431919  6.27633955025873  -5.704524831303141  -17.44346057849361
0.006006006006006006  0.037695667863002755  0.03790129340681326  6.2626220631282905  6.258754400169682  -6.842083660115567  -17.696846043311307
0.007007007007007007  0.04396094117248911  0.044157400492422456  6.255204529673835  6.240900136260638  -7.977819051185422  -17.981077649655074
0.008008008008008008  0.05021822086083711  0.0503954879463061  6.246651162767847  6.22274610546721  -9.111428537510603  -18.295701262895154
0.009009009009009009  0.05646637107313718  0.05661524055588552  6.236964241555229  6.204262129191182  -10.242610315485804  -18.64022320229287
0.01001001001001001  0.06270425838698751  0.06281631315358414  6.22614634691529  6.1854185423693675  -11.371063339038153  -19.01411128569925
0.011011011011011011  0.06893075211413534  0.06899833114998388  6.214200360656449  6.166186231460804  -12.496487413509179  -19.416795945922853
0.012012012012012012  0.07514472460126506  0.0751608911044319  6.201129464617087  6.146536671281578  -13.618583289251665  -19.847671415521773
0.013013013013013013  0.08134505152983958  0.0813035613319187  6.186937139672892  6.126441960621229  -14.737052754910076  -20.30609697659792
0.014014014014014014  0.087530612214901  0.08742588254497066  6.171627164650971  6.105874856576944  -15.851598730353269  -20.79139827198034
0.015015015015015015  0.09370028990273832  0.09352736852924069  6.155203615151143  6.084808807545855  -16.961925359228516  -21.302868674012515
0.016016016016016016  0.09985297206732853  0.09960750685143457  6.137670862274778  6.063217984820358  -18.067738101105725  -21.839770707022534
0.017017017017017015  0.10598755070545948  0.10566575959814223  6.11903357126163  6.041077312734259  -19.168743823181142  -22.401337519399547
0.018018018018018018  0.11210292263044211  0.11170156414409542  6.099296700035088  6.018362497312037  -20.26465089150979  -22.986774401082855
0.01901901901901902  0.11819798976432103  0.11771433394834015  6.07846549765637  5.995050053378394  -21.35516926173613  -23.5952603421757
0.02002002002002002  0.12427165942849212  0.12370345937676135  6.056545502688152  5.971117330089005  -22.440010569292717  -24.225949628292554
0.02102102102102102  0.1303228446326376  0.12966830854934952  6.033542541468185  5.946542534847321  -23.51888821903652  -24.87797346817819
0.022022022022022022  0.13635046436188739  0.13560822821059884  6.0094627262934806  5.921304755578385  -24.59151747429308  -25.550441649098794
0.023023023023023025  0.14235344386211887  0.14152254462136107  5.984312453515679  5.895383981333265  -25.657615545278674  -26.242444215444298
0.024024024024024024  0.1483307149233059  0.14741056447048106  5.958098401548218  5.868761121203558  -26.716901676871018  -26.953053165975696
0.025025025025025023  0.15428121616082882  0.15327157580451517  5.930827528785997  5.841418021529589  -27.76909723569915  -27.68132416515144
0.026026026026026026  0.16020389329465884  0.15910484897381427  5.902507071438198  5.813337481390377  -28.813925796523364  -28.426298263967258
0.02702702702702703  0.1660976994263297  0.16490963759324895  5.873144541275027  5.784503266368158  -29.851113227876443  -29.187003625787646
0.028028028028028028  0.17196159531361127  0.1706851795158489  5.842747723289092  5.754900120584756  -30.880387776937635  -29.962457252690776
0.029029029029029027  0.17779454964279956  0.1764306978176279  5.811324673272234  5.7245137770115  -31.90148015361093  -30.751666707911614
0.03003003003003003  0.1835955392985394  0.1821454017918602  5.778883715308597  5.693330966058539  -32.914123613779715  -31.553631830046342
0.031031031031031032  0.1893635496310957  0.18782848795110849  5.745433439184778  5.661339422454458  -33.918054041710036  -32.36734643478373
0.03203203203203203  0.19509757472099162  0.19347914103528105  5.710982697717949  5.628527890430165  -34.913010031574935  -33.19180000002907
0.03303303303303303  0.20079661764093132  0.1990965350240371  5.675540604002795  5.594886127226024  -35.898732968072856  -34.02597933041017
0.03403403403403403  0.20645969071492642  0.20467983415187696  5.639116528578249  5.560404904944837  -36.87496710611308  -34.868870197300076
0.035035035035035036  0.21208581577454688  0.21022819392426578  5.601720096514915  5.52507601077686  -37.8414596495419  -35.719458950626915
0.036036036036036036  0.21767402441221687  0.2157407621331847  5.563361184424191  5.488892245627136  -38.797960828883106  -36.576734098910734
0.037037037037037035  0.22322335823147837  0.22121667987051694  5.524049917390068  5.451847421178411  -39.74422397806717  -37.43968785412656
0.03803803803803804  0.22873286909414503  0.22665508253772854  5.483796665824653  5.413936355426638  -40.68000561012346  -38.30731763818396
0.03903903903903904  0.23420161936427  0.23205510085033293  5.44261204224844  5.3751548667290185  -41.60506549181039  -39.17862754799084
0.04004004004004004  0.23962868214885513  0.2374158618356726  5.400506897996427  5.335499766407428  -42.51916671715891  -40.052629776272106
0.04104104104104104  0.24501314153522474  0.24273648982258517  5.357492319851161  5.294968849952728  -43.42207577990452  -40.928345985504784
0.04204204204204204  0.25035409282499393  0.24801610742159366  5.313579626603861  5.253560886878433  -44.31356264478436  -41.80480863255139
0.043043043043043044  0.2556506427645586  0.2532538364942813  5.26878036554473  5.211275609273926  -45.19340081767529  -42.68106224177531
0.044044044044044044  0.2609019097720378  0.2584487991105763  5.223106308883662  5.1681136991098855  -46.06136741454992  -43.55616462463476
0.04504504504504504  0.26610702416059795  0.26360011849273307  5.176569450102526  5.124076774350527  -46.917243229227886  -44.42918804397871
0.04604604604604605  0.27126512835809313  0.2687069199448351  5.129182000240229  5.07916737392864  -47.76081279989982  -45.2992203214783
0.04704704704704705  0.2763753771229528  0.2737683317667109  5.080956384111834  5.033388941641185  -48.59186447440204  -46.16536588683872
0.04804804804804805  0.2814369377562522  0.27878348615121656  5.031905236462949  4.986745809024176  -49.410190474220606  -47.02674676767647
0.04904904904904905  0.28644899030990273  0.28375152006388943  4.982041398060709  4.939243177266839  -50.21558695720352  -47.88250351913831
0.050050050050050046  0.29141072779089605  0.28867157610404254  4.931377911722633  4.890887098225678  -51.00785407896023  -48.731796092563656
0.05105105105105105  0.29632135636154483  0.2935428033464259  4.879928018284682  4.8416844545996645  -51.786796052928715  -49.573804642701724
